File name,20200601S181BL.kcd
Result analysis file name,20200601S181BL-1.raf
Subject,20200602BSL1S179S180
Gender,Male
Age
Memo,20200602BSL1S179S180S181
Free comment 1,Recordings,20200601BSL1S179S180S181
Free comment 2,ch1 ,S179
Free comment 3,ch2,S180
Free comment 4,ch3,S181
Free comment 5,ch4 ,
Free comment 6,ch5,
Free comment 7,ch6 ,
Free comment 8,ch7,
Free comment 9,ch8,
Free comment 10,operator,sakthi

Time,Epoch No.,Stage,,
,,,,
2020/06/01 10:59:38,0,l,0,
2020/06/01 10:59:42,1,l,0,
2020/06/01 10:59:46,2,l,0,
2020/06/01 10:59:50,3,l,0,
2020/06/01 10:59:54,4,l,0,
2020/06/01 10:59:58,5,l,0,
2020/06/01 11:00:02,6,l,0,
2020/06/01 11:00:06,7,l,0,
2020/06/01 11:00:10,8,l,0,
2020/06/01 11:00:14,9,l,0,
2020/06/01 11:00:18,10,l,0,
2020/06/01 11:00:22,11,l,0,
2020/06/01 11:00:26,12,l,0,
2020/06/01 11:00:30,13,l,0,
2020/06/01 11:00:34,14,l,0,
2020/06/01 11:00:38,15,l,0,
2020/06/01 11:00:42,16,l,0,
2020/06/01 11:00:46,17,l,0,
2020/06/01 11:00:50,18,l,0,
2020/06/01 11:00:54,19,l,0,
2020/06/01 11:00:58,20,l,0,
2020/06/01 11:01:02,21,l,0,
2020/06/01 11:01:06,22,l,0,
2020/06/01 11:01:10,23,l,0,
2020/06/01 11:01:14,24,l,0,
2020/06/01 11:01:18,25,l,0,
2020/06/01 11:01:22,26,l,0,
2020/06/01 11:01:26,27,h,0,
2020/06/01 11:01:30,28,l,0,
2020/06/01 11:01:34,29,l,0,
2020/06/01 11:01:38,30,l,0,
2020/06/01 11:01:42,31,l,0,
2020/06/01 11:01:46,32,l,0,
2020/06/01 11:01:50,33,l,0,
2020/06/01 11:01:54,34,l,0,
2020/06/01 11:01:58,35,l,0,
2020/06/01 11:02:02,36,l,0,
2020/06/01 11:02:06,37,l,0,
2020/06/01 11:02:10,38,l,0,
2020/06/01 11:02:14,39,l,0,
2020/06/01 11:02:18,40,l,0,
2020/06/01 11:02:22,41,l,0,
2020/06/01 11:02:26,42,l,0,
2020/06/01 11:02:30,43,l,0,
2020/06/01 11:02:34,44,l,0,
2020/06/01 11:02:38,45,l,0,
2020/06/01 11:02:42,46,l,0,
2020/06/01 11:02:46,47,l,0,
2020/06/01 11:02:50,48,l,0,
2020/06/01 11:02:54,49,l,0,
2020/06/01 11:02:58,50,l,0,
2020/06/01 11:03:02,51,l,0,
2020/06/01 11:03:06,52,l,0,
2020/06/01 11:03:10,53,l,0,
2020/06/01 11:03:14,54,l,0,
2020/06/01 11:03:18,55,l,0,
2020/06/01 11:03:22,56,l,0,
2020/06/01 11:03:26,57,l,0,
2020/06/01 11:03:30,58,l,0,
2020/06/01 11:03:34,59,l,0,
2020/06/01 11:03:38,60,h,0,
2020/06/01 11:03:42,61,h,0,
2020/06/01 11:03:46,62,l,0,
2020/06/01 11:03:50,63,l,0,
2020/06/01 11:03:54,64,h,0,
2020/06/01 11:03:58,65,h,0,
2020/06/01 11:04:02,66,h,0,
2020/06/01 11:04:06,67,l,0,
2020/06/01 11:04:10,68,h,0,
2020/06/01 11:04:14,69,h,0,
2020/06/01 11:04:18,70,l,0,
2020/06/01 11:04:22,71,l,0,
2020/06/01 11:04:26,72,l,0,
2020/06/01 11:04:30,73,h,0,
2020/06/01 11:04:34,74,l,0,
2020/06/01 11:04:38,75,l,0,
2020/06/01 11:04:42,76,l,0,
2020/06/01 11:04:46,77,l,0,
2020/06/01 11:04:50,78,l,0,
2020/06/01 11:04:54,79,l,0,
2020/06/01 11:04:58,80,l,0,
2020/06/01 11:05:02,81,h,0,
2020/06/01 11:05:06,82,l,0,
2020/06/01 11:05:10,83,l,0,
2020/06/01 11:05:14,84,l,0,
2020/06/01 11:05:18,85,l,0,
2020/06/01 11:05:22,86,l,0,
2020/06/01 11:05:26,87,l,0,
2020/06/01 11:05:30,88,l,0,
2020/06/01 11:05:34,89,l,0,
2020/06/01 11:05:38,90,l,0,
2020/06/01 11:05:42,91,l,0,
2020/06/01 11:05:46,92,l,0,
2020/06/01 11:05:50,93,l,0,
2020/06/01 11:05:54,94,l,0,
2020/06/01 11:05:58,95,l,0,
2020/06/01 11:06:02,96,l,0,
2020/06/01 11:06:06,97,l,0,
2020/06/01 11:06:10,98,l,0,
2020/06/01 11:06:14,99,l,0,
2020/06/01 11:06:18,100,l,0,
2020/06/01 11:06:22,101,l,0,
2020/06/01 11:06:26,102,l,0,
2020/06/01 11:06:30,103,l,0,
2020/06/01 11:06:34,104,l,0,
2020/06/01 11:06:38,105,l,0,
2020/06/01 11:06:42,106,l,0,
2020/06/01 11:06:46,107,l,0,
2020/06/01 11:06:50,108,l,0,
2020/06/01 11:06:54,109,l,0,
2020/06/01 11:06:58,110,l,0,
2020/06/01 11:07:02,111,l,0,
2020/06/01 11:07:06,112,l,0,
2020/06/01 11:07:10,113,h,0,
2020/06/01 11:07:14,114,h,0,
2020/06/01 11:07:18,115,l,0,
2020/06/01 11:07:22,116,h,0,
2020/06/01 11:07:26,117,l,0,
2020/06/01 11:07:30,118,h,0,
2020/06/01 11:07:34,119,l,0,
2020/06/01 11:07:38,120,l,0,
2020/06/01 11:07:42,121,l,0,
2020/06/01 11:07:46,122,l,0,
2020/06/01 11:07:50,123,h,0,
2020/06/01 11:07:54,124,h,0,
2020/06/01 11:07:58,125,h,0,
2020/06/01 11:08:02,126,h,0,
2020/06/01 11:08:06,127,l,0,
2020/06/01 11:08:10,128,l,0,
2020/06/01 11:08:14,129,l,0,
2020/06/01 11:08:18,130,l,0,
2020/06/01 11:08:22,131,l,0,
2020/06/01 11:08:26,132,l,0,
2020/06/01 11:08:30,133,l,0,
2020/06/01 11:08:34,134,l,0,
2020/06/01 11:08:38,135,l,0,
2020/06/01 11:08:42,136,l,0,
2020/06/01 11:08:46,137,l,0,
2020/06/01 11:08:50,138,l,0,
2020/06/01 11:08:54,139,l,0,
2020/06/01 11:08:58,140,l,0,
2020/06/01 11:09:02,141,l,0,
2020/06/01 11:09:06,142,l,0,
2020/06/01 11:09:10,143,l,0,
2020/06/01 11:09:14,144,l,0,
2020/06/01 11:09:18,145,l,0,
2020/06/01 11:09:22,146,l,0,
2020/06/01 11:09:26,147,l,0,
2020/06/01 11:09:30,148,h,0,
2020/06/01 11:09:34,149,l,0,
2020/06/01 11:09:38,150,l,0,
2020/06/01 11:09:42,151,l,0,
2020/06/01 11:09:46,152,h,0,
2020/06/01 11:09:50,153,h,0,
2020/06/01 11:09:54,154,h,0,
2020/06/01 11:09:58,155,l,0,
2020/06/01 11:10:02,156,l,0,
2020/06/01 11:10:06,157,l,0,
2020/06/01 11:10:10,158,h,0,
