timeNow = 2023-04-09 12:15:17.795599, len(dataFromDaq) = 3278, R->W thresh = 1.0, self.currentCh2Intensity = 0
timeNow = 2023-04-09 12:15:17.795599, len(dataFromDaq) = 3290, R->W thresh = 1.0, self.currentCh2Intensity = 0
timeNow = 2023-04-09 12:15:17.796603, len(dataFromDaq) = 3281, R->W thresh = 1.0, self.currentCh2Intensity = 0
timeNow = 2023-04-09 12:15:17.796603, len(dataFromDaq) = 3277, R->W thresh = 1.0, self.currentCh2Intensity = 0
timeNow = 2023-04-09 12:15:17.798601, len(dataFromDaq) = 3285, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.798601, len(dataFromDaq) = 3270, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.798601, len(dataFromDaq) = 3265, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.801598, len(dataFromDaq) = 3289, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.802599, len(dataFromDaq) = 3282, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.803599, len(dataFromDaq) = 3284, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.803599, len(dataFromDaq) = 3287, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.803599, len(dataFromDaq) = 3288, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.805600, len(dataFromDaq) = 3277, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.805600, len(dataFromDaq) = 3270, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.805600, len(dataFromDaq) = 3283, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
